District ID,District,Latitude,Longitude,# of Hospitals,Population,Population over 65,Elderly %,Population in Slums,Slum %,Population with Low Income,"Low Income
%",Elderly Norm,Slum Norm,LI Norm,Composite Vulnerability Index
D_37,Rat Burana,13.673517536071,100.499535011821,4,"110,391","7,482",6.78%,"19,870",18.00%,291,0.26%,0.427,0.567,0.886,0.627
D_38,Ratchathewi,13.757262726312,100.538550699971,4,"108,851","4,867",4.47%,"18,451",16.95%,18,0.02%,0.085,0.534,0.000,0.207
D_39,Sai Mai,13.906182463281,100.652995680127,2,"212,560","12,417",5.84%,"4,719",2.22%,527,0.25%,0.288,0.070,0.829,0.396
D_40,Samphanthawong,13.738572870694,100.508701017042,2,"20,765","2,226",10.72%,0,0.00%,27,0.13%,1.000,0.000,0.402,0.467
D_41,Saphan Sung,13.762634144422,100.691520477775,2,"120,165","7,684",6.39%,"2,918",2.43%,185,0.15%,0.370,0.077,0.488,0.312
D_42,Sathon,13.714069385646,100.530973250289,1,"138,490","12,544",9.06%,"6,678",4.82%,153,0.11%,0.765,0.152,0.331,0.416
D_43,Suan Luang,13.726156331548,100.628077492958,3,"235,063","14,915",6.35%,"1,019",0.43%,358,0.15%,0.363,0.014,0.482,0.286
D_44,Taling Chan,13.771689990721,100.435155548205,1,"136,546","12,159",8.90%,"7,273",5.33%,345,0.25%,0.742,0.168,0.846,0.585
D_45,Thawi Watthana,13.775080453071,100.366927245626,1,"90,218","6,296",6.98%,0,0.00%,142,0.16%,0.457,0.000,0.501,0.319
D_46,Thon Buri,13.715293021481,100.484884084617,2,"155,583","14,029",9.02%,"67,911",43.65%,273,0.18%,0.759,1.000,0.566,0.775
D_47,Thung Khru,13.628397798601,100.496081856205,0,"150,358","8,939",5.95%,700,0.47%,206,0.14%,0.304,0.015,0.427,0.248
D_48,Wang Thonglang,13.778564201033,100.609604271109,1,"224,013","14,593",6.51%,"17,599",7.86%,160,0.07%,0.388,0.248,0.189,0.275
D_49,Watthana,13.731739551913,100.584168750018,4,"171,150","4,320",2.52%,"15,405",9.00%,22,0.01%,0.000,0.284,0.000,0.095
D_50,Yan Nawa,13.690565077582,100.539266163762,0,"182,621","10,112",5.54%,"10,767",5.90%,32,0.02%,0.243,0.186,0.000,0.143
